ID	Easy	Intermediate	Difficult
4421	4	20	10
3801	4.5	10	8
4835	5.2	13.7	9
4853	6	6	6
991	6	14	10
594	10	18	38
2946	15	34	24
360	17	27	23
5248	18	46	27
4182	20	40	35
2147	15	35	30
3301	6.2	9	3.7
919	8	27	15
107	10	6	4
1453	10	5	5
4387	13	41	24
1847	18	18	19
5207	3.5	16	5.5
2671	8	19	13
3082	13.5	45	31.5
2687	14	17	15
1967	15	31	30
1423	6.7	28.2	23.3
5251	10	20	20
5289	2	4	4
3102	8	16	6
729	9	20	65
3176	4.2	14.7	6.1
260	7.4	17.4	12.2
5260	9.4	22.1	14
136	14	31	17
3702	30	50	55
4228	6	7	4
4466	20	30	14
548	4	3	3
549	4.5	6	3.5
358	8	11.2	8
4417	10	12	7
218	12	14	11
3050	12	21	27
3762	15	40	30
586	25	16	15
1445	5	15	15
3845	20	50	50
5247	7	15	13
1119	11	26	15
3045	6	46	8
2630	13	26	6
4669	13.5	78	43.5
2755	26	26	39
4646	28	40	51
3065	15	25	60
4298	20	50	45
4645	17	40	30
4428	5	28	15
4440	14	11	6
3876	16	18	21
2954	16.6	25.2	37.1
3485	20	55	25
199	40	25	40
4286	12	23	11.5
119	29	46.4	40.6
2425	35	62	42
2137	20	20	60
1219	42	58	42
450	18.9	56.7	29.4
4769	27	28	58
4675	30	40	14
4622	60	20	12
2010	2.1	12.9	20.7
4687	25	50	34
3377	22	26	22
4643	15.3	40.5	34.2
908	27	69	25
2146	37.4	43	46
2164	15	30	20
1025	7	2	0
3098	20	30	50
318	35	40	17
4526	25	45	30
4429	27	38	38
4615	20	42	8
4795	6.7	51.7	29.8
975	27	41	32
447	55	69	126
5241	40	110	50
3502	27	152	71
1936	16	50	50
887	30	40	56
1622	18	42	34
3280	25	45	27
5282	11	53	79
2730	18.4	48.5	22.9
105	25	40	35
2133	25	65	45
574	28	60	65
4566	25	95	45
253	0	49	54
670	11.9	13.3	8.8
4436	14.2	111	111
252	24.3	40.5	70.2
5024	57	84	93
367	28.5	64.5	57
